Content,Label,Document Length
risk breaking golden raise rein spending avoid breaking golden suggests borrow cash invest finance spending project institute social research niesr finance treasury track funded niesr cycle unlikely golden met cycle improve fiscal tightening needed niesr question viability spending projection accountancy ernst chancellor exchequer gordon brown forecast revenue optimistic claimed revenue estimate growing forecast treasury spokesperson dismissed track spending golden cycle spending fully affordable warning hike niesr optimistic recordbusting surge oil limited effect worldwide expansion grow strongly gross domestic product gdp tipped dipping picking drive expansion albeit slightly slower japan hinting exporter niesr euro zone pick speed accelerate forecast weak quarter force sustaining upswing remain intact expand robustly niesr adding balanced export stage recovery gdp cloud horizon niesr analysed fretted property,0,220
worldcom admits lying officer telecom worldcom admitted york lie fellow board speaking trial bos bernard ebbers scott sullivan lied board cover hole worldcoms finance ebbers trial fraud conspiracy relation worldcoms collapse pleads guilty overstating sullivan pleaded guilty fraud sentenced ebbers trial appearing prosecution witness ebbers insisted unaware hidden shortfall worldcoms finance york ebbers lawyer reid weingarten sullivan willing lie accomplish isnt date yes lying replied sullivan weingarten suggested sullivan implicating ebbers lighter sentence sullivan denies sullivan reject suggestion fellow worldcom board bert robert ebbers unaware accounting fraud worldcom trial ebbers hour questioning federal prosecutor sullivan previously repeatedly ebbers falsifying book meet wall revenue earnings expectation sullivan ebbers refused stop fraud ebbers sentence convicted facing worldcoms appear begun collapse dotcom boom internet prosecutor allege responded orchestrating massive fraud twoyear period worldcom emerged bankruptcy protection known mci,0,193
user lose patience customer trying getting impatient quicker hang survey suggests welcome message caller average hang listening canned music drop patience call growing customer getting idea available society cara diemont dimension data commissioned survey saw sharp customer simply abandoning call automated phone message system equation customer pick multiple option message abandoned call higher sixth caller wait reason lack patience m diemont customer calling mobile phone surge customer trying reflection growing range task looked mortgage agent responsible credit card insurance m diemont occurring increased responsibility handinhand training survey dimension data call alarming development average induction worker fell leaving agent equipped customer m diemont warns scary poor training frustrates worker customer churn nearly quarter worker throwing towel force training staff resolution call customer query resolved mutual satisfaction running query passed person specialist target resolution suggestion outsourcing relocating lowcost india africa blame wrong m diemont difference wait resolution based north america developing perform management process decide offshore operation driven consideration saving consideration closing domestic operation argue worker skill everybody belief outsourcing offshoring solution nearly twothirds polled survey offshore reason operation core function worried risk abroad fear damage brand join offshoring drive survey conducted sunovate behalf dimension data based indepth questionnaire continent experience happy listen vivaldi greensleeves immediate response training prepare,0,303
novartis acquisition trail swiss drugmaker novartis euro purchase sandoz unit generic drug producer novartis forecast bought germany hexal acquired hexals affiliate eon lab offered buy remaining novartis saving acquisition novartis rose swiss franc trading novartis sandoz overtake israel teva pharmaceutical maker generic based newly merged producer estimated novartis merge department adding outlook sandoz create partially compensate necessary reduction force generic drug chemically identical expensive branded rival producer sandoz copy branded product usually patent protection expires sell cheaply research development generic drugmakers worldwide predicted consolidation fragmented initially convinced expensive acquisition birgit kuhlhoff sal oppenheim investment reuters strange acquisition exactly suffered pressure,0,150
prosper trigger optimism highest reap benefit continuing spending researcher bdo stoy hayward anticipated bdo optimism index leading indicator gdp quarter edged october spending increased merger acquisition activity blighting optimism uncertainty associated bdo bdos output index predicts gdp movement quarter advance remained implying gdp quarter output index sterling strength dollar oil noted inflation index risen continuously climbed october prepare jolt reacts inflationary pressure peter hemington partner bdo stoy hayward probably slow higher sharp drop product,0,146
sluggish german largest risen tenth straight remains stubbornly slow german unemployment rose workforce seasonally adjusted showed smaller measure encourage creation began effect stagnant stifling sign revival domestic frankjuergen weise federal agency quarter insufficient deliver positive momentum oil soaring euro damage competitiveness exporter negative effect brunt unemployment felt eastern germany unemployment stuck chancellor gerhard schroeder creation agenda controversial package measure shake incentive paid cutting cherished benefit sparked anger german worker strike notably iconic carmaker demonstrated displeasure fear loss outsourcing take initiative socalled oneeuro unemployment benefit scheme formal launch hirings affecting unemployment statistic economist deterioration surprise isabelle kronawitter hypovereinsbank creation measure probably prevented stronger seasonally adjusted,0,164
fail boost failed recover poor christmas survey store received boost bargain hunter trading reverted retail consortium accountant kpmg traditionally rose likeforlike basis compared remain cautious buying bigticket item furniture brc kevin hawkins higher uncertainty housing toll retail sector brc clothing footwear generally department store threemonths likeforlike showed brc relatively holiday trading downward hawkins extending promotion discount payday boost tempt customer brc survey christmas worst retailer statistic data failed meet expectation count worst,0,131
save manufacturing union congress tuc calling stem loss manufacturing reviewing give tuc submission budget needed sector call pension child care provision decent wage page submission urge examine provide tuc brendan barber commitment difference greater investment childcare strategy delivering childcare option available parent commitment manufacturing sector ensures compete deliver frontline practical measure pensioner especially woman retire poverty submission call decent wage training manufacturing sector,0,107
bat spit drug go german product derived saliva vampire bat raise euro stock paion hoped sell euro drug desmoteplase based protein bat saliva protein stop blood clotting bat drink victim stroke sufferer scheduled trading frankfurt stock exchange range valued euro raised spent largely developing drug desmoteplase licensed manufacturer forest laboratory,0,77
pump billion pension employer spent billion pound propping salary pension research suggests survey scheme income data id employer contribution increased facing deficit raised pension contribution id struggling type scheme rising increased liability salary scheme known defined benefit scheme promise pension related salary scheme earning retire rising maintaining scheme led employer replace salary scheme purchase defined contribution scheme risky employer purchase scheme employee pension fund buy annuity income death retirement id scheme health forced fund tackle yawning deficit contribution paid employer increased gradually example contribution rose contrast employer contribution helen sudell editor id pension contribution staggering highest recorded id widespread closure salary scheme entrant beginning bigger movement paternalistic provision m sudell doubt employer reduce benefit staff scheme,0,163
trillion value housing stock reached trillion triple value indicates research halifax mortgage lender suggests value private housing stock continuing steadily region saw doubling asset decade northern ireland led scotland saw smallest core retail index rose period underlining effective investment housing decade private housing asset representing trillion pound value concentrated east halifax indicate tim crawford economist halifax value private housing stock continues grow remains large margin valuable asset majority household halifax monthly issued suggest average property stand housing expert split prospect slow fall predict sharp drop value,0,126
unfazed aurora setback aurora limped dock blizzard photo interview add unambiguous tale woe ship slice bad luck add history health scare technical trouble owner po cruise huge carnival corporation significant slice chopped profit potential pr fiasco stock warning fivecent earnings hour investment upped target carnival investor barely blinked gmt carnival single penny mismatch perception response aurora ongoing deutsche simon clearly source uncertainty cruise stock treating oneoff string bad luck pointed aurora vessel large carnival fleet po princess merged larger generally speaking carnival reputation keeping ship pretty schedule carnival incredibly track similarly expect impact rest cruise limited hundred disappointed passenger opportunity spend aurora refund credit cruise mitigate pr risk carnival competitor royal caribbean cancellation technical reason entirely unusual wrote citigroup smith barney note client typically limited impact booking pricing cruise aurora incident carnival customer unlikely splash assuming citigroup stay solid structure carnival favour wake po princess takeover carnival extent duopoly expense building outfitting running cruise ship slowing supply certainty anders merrill lynch word cruise option limited carnival remaining selling ticket matter happens illfated aurora,0,240
glaxo aim profit fall glaxosmithkline saw profit fall drugmaker recovery cheap copy drug particularly antidepressant paxil wellbutrin weak dollar profit confident drug pipeline deliver profit failure obesity drug jeanpierre garnier difficult afternoon penny garnier absorbed generic managing grow continuing product research development pipeline progress discontinued development experimental treatment obesity known disappointing clinical trial glaxo relying treatment condition cancer diabetes depression hivaids allergy lift pace disappointing,0,113
renault bos hail outside western helped renault boost profit lower margin largest carmaker enjoyed healthy profit euro rose euro outside western megane range lifted louis schweitzer renault sold vehicle mainly outside western particularly turkey russia north africa outside western renaults core rose japanese carmaker nissan renault owns stake contributed euro income nissan carlos ghosn succeed schweitzer renault renault outlook stable small forecast region benefit launch clio model rollout logan operating margin lower opposed sluggish environment impacted raw material renault intends grow,0,155
safety alert gm recall car carmaker motor gm recalling nearly vehicle safety ground federal regulator highway traffic safety administration nhtsa largest recall involves pickup van utility vehicle suv malfunction braking system affected vehicle product recall model gm vehicle potential fault chevrolet avalanche express kodiak silverade suburban gmc savana sierra yukon nhtsa pressure accumulator braking crack normal driving fragment injure hood hydraulic fluid leak harder brake steer cause crash gm recalling cadillac xlr coupe srx suv pontiac grand prix sedan model accelerator pedal properly extremely cold temperature requiring braking addition car giant calling buick ranier chevrolet trailblazer gmc envoy isuzu ascender model windshield properly fitted fall crash gm stressed related recall follows announcement gm expects earnings lower car maker grappling loss weak product recall gm higher healthcare north america lower profit subsidiary hurt,0,167
asian quake leading reinsurers travel fallen scale damage wrought tsunami asia apparent killed massive underwater earthquake worst popular tourist destination reisurance swiss munich value investor worried rebuilding disaster impact stock asia currency thai baht indonesian rupiah weakened slow worst han goetti singaporebased fund impact tourist pretty devastating especially thailand travelrelated dropped germany tui lufthansa mediterranne sliding insurer reinsurance pressure munich swiss reinsurers fell speculated rebuilding asia zurich allianz axa suffered decline value loss smaller reflecting view reinsurers pick bulk worry size insurance liability dragged impact exacerbated light postchristmas trading germany benchmark dax index closed lower cac index leading fell investor pointed decline probably specific travel insurance hardest concrete damage swiss re floiran woest associated press damage widely spread geographically unfolding scale disaster asia immediate impact dow jones index risen morning analsyts cheered encouraging retailer postchristmas asian adjustment quickly lower earnings repair thai airway shed relies tourism singapore airline dropped singapore annual gross domestic product gdp tourism malaysia budget airline airasia fell resort operator tanco holding slumped travel japan kinki nippon sliding dropping overall impact asia largest stock japan nikkei slight fell strength weighed currency indonesian rupiah dollar bouncing slightly thai baht currency trading india died rupee shed dollar difficult predict disaster currency increasing pressure bill mounted,0,302
oil reach threemonth oil fallen heavily closing threemonth crude stock improved winter brent crude closed drop dived barrel midseptember light crude traded york lowest september benchmark crude dropped fall triggered energy information administration eia crude stock higher calmed worry winter shortage weak fuel heating oil stock persistent factor pushing oil amazing quickly sentiment changed rick mueller energy analysis attributed fall mild earlywinter weather tempered heating oil stronger fuel inventory helped boost stock ninemonth nasdaq index hung gain ftse index closed higher longawaited drop oil helped ease persistent investor jitter impact energy profit trader fall shortlived cold snap north america winter supply part crude fallen october opec increased production meet helped rebuild stock supply disruption hurricane ivan september trader encouraged comment energy opec algeria chakib khelil cartel output unchanged meet sharp fall crude harden opec attitude overproduction leading scaling oil output fear remain heating oil stock rising remain cold spell north america deplete supply spark fall inventory mother nature huge kyle cooper citigroup headed winter person advisory eia data indicated adequate supply,0,262
fall weak dollar fear rising oil sinking dollar finance stern word fed alan greenspan ftse fell tokyo nikkei dropped steepest fall g finance supporting dollar slide jeopardise japan greenspan asian soon stop funding deficit afternoon euro alltime dollar oil pushed higher investor fretted cold weather potential output oil producer opec cooled benchmark brent crude closed cent barrel york light sweet crude closed cent barrel slide attempting traditional dollar pitch george w bush asia pacific cooperation apec summit chile remained committed halving budget deficit gap red ink spreading america finance widely factor driving dollar lower treasury snow audience remained unaltered entirely signal trader advice sell dollar looked g direction snow exchange agenda letting dollar drift useful shortterm fix export affordable helping gap meantime debt keep getting bigger congress authorising owe trillion speech federal reserve alan greenspan longer tricky present gap debt covered selling bond asian japan china dollar reserve currency similarly asian investment bridge gap deficit spends earns turning cautious auction debt august taker greenspan trend fall dollar kept eating value investment persuasive size deficit diminished appetite adding dollar balance occur,0,265
german germany unemployment rose psychologically german federal agency jobless reached take jobless yes effectively unemployed zdf television unemployment germany statistic compiled partly explain jump embarrassing apparently worst weve postwar period charged politically christian jasperneite economist mm warburg renaissance weve spd ruling social democrat poll schleswigholstein north rhinewestphalia adverse effect opposition capital subsidised employment scheme reform unpopular benefit controversial hartz iv reform effect beginning unemployment benefit welfare longterm unemployed officially classified bad winter weather toll sector construction sector laid worker adjusted seasonal factor german jobless rose,0,149
german bidder lse deutsche boerse boss constructive professional friendly stock exchange lse werner seifert met lse clara furse amid rumour german raise bid initial rival suitor euronext upped ante bid battle lse paneuropean bourse prepared cash parisbased exchange owner liffe reported ready raise fund bid deutsche boerse lse bid approach turned exchange undervaluing lse agree leave door significantlyimproved proposal interest l shareholder customer meantime euronext combine paris amsterdam lisbon stock exchange began lse euronext solely cash assurance stage bidder create stock operator york stock exchange formal lse source claiming step deutsche boerse mounting opposition bid sweetener reported discussed seifert m furse management cash eurex derivative board han reckers board germany central bundesbank cash trading remain frankfurt deutsche boerse headquarters boerse segment stay permanently frankfurt special importance activity consultant local frankfurt hessen spoken wish headquarters stay maintain frankfurt standing continental alois rhiel affair,0,217
amex spinoff express surged spin profitable advisory subsidiary credit card travel giant offloading express advisor aefa boost profitability aefa adviser selling advice fund insurance customer delivered poor profit loss excellent express focus core sell laggard division marquis investment research phil kain estimate standalone aefa value unit acquired express investor diversified minneapolis amassing onestop empire selling investment integrated rest,0,91
stock eye japan recovery japanese ended highest july amidst recovery nikkei index leading gained predicted morgan stanley equity strategist naoki kamiyama optimism contrast sharply pessimism japanese community quarterly tankan survey japanese manufacturer confidence weakened slower rising oil stronger yen weaker export blamed fall confidence trader expect strength benefit japan sliding recession structural reform japan anticipated banking sector bad debt,0,90
iraqi voter desperate situation iraq lie tatter vicious cycle unemployment poor social poverty worse lack investment elected break deadlock radwan hadi deputy managing aberdeenbased oil gas consultancy blackwatch petroleum entered iraq hadis view priority shared iraqi secondmost dominant bristol university scientist anne alexander project governance postwar iraq creation rank manifesto iraqi wish list exactly iraqi situation dire estimate iraq unemployment vary estimate washingtonbased independent thinktank brookings institution iraq index progress largely thanks oil revenue exceeded june iraq infrastructure mend notable improvement electricity supply irrigation telephone network reopening hospital remain growing divide have havenots angering voter iraqi woman m alexander frustration watched advert private hospital soon failed track basic medicine baghdad pharmacy observes hadi present divide rich richer poor poorer indication finance contrast daily plight ordinary private operate accordance islamic banking principle finance buying sector kuwait bought majority stake credit iraq jordanian investment export finance bought iraq cash reconstruction bechtels rebuild school restore attracted controversy boosting halliburton enjoyed wealth military contract involvement health banking sector sits uneasily iraqi accustomed responsibility function essential society observes m alexander selling iraq asset bringing multinationals expense iraqi iraqi worker consequently transitional forced backtrack proposal ownership iraqi asset explains west easy forget brutal baathist regime majority iraq citizen creation social healthcare opinion poll suggest leading providing m alexander investment abroad warmly welcomed insists hadi iraqi decade private sector evolve incredibly fast hadi iraq vast natural resource magnitude keen actually entering meaningful exception hadis blackwatch small operator preparing bigger blackwatchs baghdadbased affiliate falcon dozen kirkuk baghdad engineer geoscientists iraqi oil ministry hammer technology transfer hadi guy trying iraqi go iraq responsibility live normal,0,398
peugeot boost mitsubishi struggling japanese car maker mitsubishi motor struck supply french car maker peugeot utility vehicle suv signed memorandum understanding expect seal agreement spring alliance badlyneeded boost lossmaking mitsubishi profit warning poor suv built japan peugeots diesel engine sold mainly falling mitsubishi motor underused capacity production peugeot give utilise mitsubishi motor issued profit warning forecast slid catalysed revelation systematically hiding fault secretly repairing vehicle japanese car maker sought bailouts yen fresh backing mitsubishi usgerman carmaker daimlerchrylser shareholder mitsubishi motor decided april pump peugeot celebrated mitsubishis newlyappointed takashi nishioka boss stood shoulder responsibility trouble mitsubishi motor forecast loss yen signed production agreement japanese rival nissan motor supply small car japan car nissan,0,165
china continues breakneck china expanded breakneck faster predicted limit investment lending beijing boil china sucked raw material energy feed expansion knockon effect rest overheats pointed industrial slowed providing impetus industrial output target impose curb credit investment rose faster adding sharp producer stoke inflation overall investment fixed asset peak quarter higher china raised percentage hike october apparent rebalancing overall picture remains economist sign slowdown tim congdon economist ing baring china gathering speed thanks domestic soaring overseas released showed export sixyear impetus relative cheapness yuan china currency keep pegged dollar chagrin lawmaker blame china competitiveness urging ease peg insist ready shift marketset feasible formulating bureau statistic li deshui reuters fortune speculating renminbi revaluation succeed profit,0,179
